Position	Name	Verein 1998	Heute
Tor	Wolfgang Knaller	FK Austria Wien	Torwarttrainer St. Pölten
Tor	Michael Konsel	AS Rom	Coaching-Agentur
Tor	Franz Wohlfahrt	VfB Stuttgart	Sportdirektor Austria Wien
Abwehr	Wolfgang Feiersinger	Borussia Dortmund	Gastronom
Abwehr	Martin Hiden	Leeds United	Trainer LASK Linz
Abwehr	Walter Kogler	AS Cannes	Trainer, zuletzt RW Erfurt
Abwehr	Anton Pfeffer	FK Austria Wien	Sportkoordinator der niederösterreichischen Landesregierung
Abwehr	Peter Schöttel	SK Rapid Wien	Trainer, zuletzt bis 2013 bei Rapid Wien
Mittelfeld	Martin Amerhauser	SV Austria Salzburg	macht in Telekommunikation
Mittelfeld	Harald Cerny	TSV 1860 München	Trainer in den U-Mannschaften bei Bayern München
Mittelfeld	Andreas Heraf	SK Rapid Wien	Trainer der österreichischen U-16
Mittelfeld	Andreas Herzog	Werder Bremen	Trainer der U-23 der USA
Mittelfeld	Dietmar Kühbauer	Real Sociedad	Trainer Wolfsberger AC
Mittelfeld	Roman Mählich	SK Sturm Graz	Trainer Austria Wien II
Mittelfeld	Hannes Reinmayr	SK Sturm Graz	bis April 2015 Trainer bei Gleinstätten
Mittelfeld	Markus Schopp	SK Sturm Graz	Trainer Strum Graz II
Mittelfeld	Peter Stöger	LASK Linz	Trainer 1. FC Köln
Angriff	Mario Haas	SK Sturm Graz	Coaching und Fußballcamps
Angriff	Heimo Pfeifenberger	Werder Bremen	bis November '14 Trainer bei Wiener Neustadt
Angriff	Anton Polster	1. FC Köln	Trainer Wiener Viktoria
Angriff	Ivica Vastić	SK Sturm Graz	Trainer SV Mattersburg
Angriff	Arnold Wetl	SK Rapid Wien	Trainer U-16 Sturm Graz
